0	1538.40
0.50	1540.80
1	1543.30
1.50	1545.70
2	1548.20
2.50	1550.60
3	1553.10
3.50	1555.60
4	1558
4.50	1560.50
5	1563
5.50	1565.50
6	1568
6.50	1570.50
7	1573
7.50	1575.50
8	1578
8.50	1580.60
9	1583.10
9.50	1585.60
10	1588.20
10.50	1590.70
11	1593.30
11.50	1595.90
12	1598.40
12.50	1601
13	1603.60
13.50	1606.20
14	1608.80
14.50	1611.30
15	1614
15.50	1616.60
16	1619.20
16.50	1621.80
17	1624.40
17.50	1627.10
18	1629.70
18.50	1632.40
19	1635
19.50	1637.70
20	1640.30
20.50	1643
21	1645.70
21.50	1648.40
22	1651.10
22.50	1653.80
23	1656.50
23.50	1659.20
24	1661.90
24.50	1664.60
25	1667.40
25.50	1670.10
26	1672.80
26.50	1675.60
27	1678.30
27.50	1681.10
28	1683.90
28.50	1686.70
29	1689.50
29.50	1692.20
30	1695
30.50	1697.80
31	1700.70
31.50	1703.50
32	1706.30
32.50	1709.10
33	1712
33.50	1714.80
34	1717.70
34.50	1720.60
35	1723.40
35.50	1726.30
36	1729.20
36.50	1732.10
37	1735
37.50	1737.90
38	1740.80
38.50	1743.70
39	1746.70
39.50	1749.60
40	1752.50
40.50	1755.50
41	1758.40
41.50	1761.40
42	1764.40
42.50	1767.40
43	1770.40
43.50	1773.40
44	1776.40
44.50	1779.40
45	1782.40
45.50	1785.40
46	1788.50
46.50	1791.50
47	1794.60
47.50	1797.60
48	1800.70
48.50	1803.80
49	1806.80
49.50	1809.90
50	1813
50.50	1816.10
51	1819.30
51.50	1822.40
52	1825.50
52.50	1828.70
53	1831.80
53.50	1835
54	1838.10
54.50	1841.30
55	1844.50
55.50	1847.70
56	1850.90
56.50	1854.10
57	1857.30
57.50	1860.60
58	1863.80
58.50	1867
59	1870.30
59.50	1873.60
60	1876.80
60.50	1880.10
61	1883.40
61.50	1886.70
62	1890
62.50	1893.30
63	1896.60
63.50	1900
64	1903.30
64.50	1906.70
65	1910
65.50	1913.40
66	1916.80
66.50	1920.20
67	1923.60
67.50	1927
68	1930.40
68.50	1933.80
69	1937.30
69.50	1940.70
70	1944.20
70.50	1947.70
71	1951.10
71.50	1954.60
72	1958.10
72.50	1961.60
73	1965.20
73.50	1968.70
74	1972.20
74.50	1975.80
75	1979.30
75.50	1982.90
76	1986.50
76.50	1990.10
77	1993.70
77.50	1997.30
78	2000.90
78.50	2004.50
79	2008.20
79.50	2011.80
80	2015.50
80.50	2019.20
81	2022.90
81.50	2026.50
82	2030.30
82.50	2034
83	2037.70
83.50	2041.40
84	2045.20
84.50	2049
85	2052.70
85.50	2056.50
86	2060.30
86.50	2064.10
87	2067.90
87.50	2071.80
88	2075.60
88.50	2079.50
89	2083.30
89.50	2087.20
90	2091.10
90.50	2095
91	2098.90
91.50	2102.80
92	2106.80
92.50	2110.70
93	2114.70
93.50	2118.60
94	2122.60
94.50	2126.60
95	2130.60
95.50	2134.70
96	2138.70
96.50	2142.70
97	2146.80
97.50	2150.90
98	2155
98.50	2159.10
99	2163.20
99.50	2167.30
100	2171.40
100.50	2175.60
101	2179.70
101.50	2183.90
102	2188.10
102.50	2192.30
103	2196.50
103.50	2200.80
104	2205
104.50	2209.30
105	2213.50
105.50	2217.80
106	2222.10
106.50	2226.40
107	2230.70
107.50	2235.10
108	2239.40
108.50	2243.80
109	2248.20
109.50	2252.60
110	2257
110.50	2261.40
111	2265.90
111.50	2270.30
112	2274.80
112.50	2279.30
113	2283.80
113.50	2288.30
114	2292.80
114.50	2297.40
115	2301.90
115.50	2306.50
116	2311.10
116.50	2315.70
117	2320.30
117.50	2324.90
118	2329.60
118.50	2334.30
119	2339
119.50	2343.70
120	2348.40
120.50	2353.10
121	2357.80
121.50	2362.60
122	2367.40
122.50	2372.20
123	2377
123.50	2381.80
124	2386.70
124.50	2391.50
125	2396.40
125.50	2401.30
126	2406.20
126.50	2411.20
127	2416.10
127.50	2421.10
128	2426.10
128.50	2431.10
129	2436.10
129.50	2441.10
130	2446.20
130.50	2451.30
131	2456.30
131.50	2461.50
132	2466.60
132.50	2471.70
133	2476.90
133.50	2482.10
134	2487.30
134.50	2492.50
135	2497.70
135.50	2503
136	2508.30
136.50	2513.60
137	2518.90
137.50	2524.20
138	2529.60
138.50	2534.90
139	2540.30
139.50	2545.80
140	2551.20
140.50	2556.60
141	2562.10
141.50	2567.60
142	2573.10
142.50	2578.70
143	2584.20
143.50	2589.80
144	2595.40
144.50	2601
145	2606.70
145.50	2612.30
146	2618
146.50	2623.70
147	2629.40
147.50	2635.20
148	2641
148.50	2646.70
149	2652.60
149.50	2658.40
150	2664.30
150.50	2670.10
151	2676
151.50	2682
152	2687.90
152.50	2693.90
153	2699.90
153.50	2705.90
154	2712
154.50	2718
155	2724.10
155.50	2730.20
156	2736.40
156.50	2742.60
157	2748.70
157.50	2755
158	2761.20
158.50	2767.50
159	2773.80
159.50	2780.10
160	2786.40
160.50	2792.80
161	2799.20
161.50	2805.60
162	2812
162.50	2818.50
163	2825
163.50	2831.50
164	2838.10
164.50	2844.70
165	2851.30
165.50	2857.90
166	2864.60
166.50	2871.20
167	2878
167.50	2884.70
168	2891.50
168.50	2898.30
169	2905.10
169.50	2912
170	2918.80
170.50	2925.80
171	2932.70
171.50	2939.70
172	2946.70
172.50	2953.70
173	2960.80
173.50	2967.90
174	2975
174.50	2982.20
175	2989.30
175.50	2996.60
176	3003.80
176.50	3011.10
177	3018.40
177.50	3025.80
178	3033.10
178.50	3040.50
179	3048
179.50	3055.50
180	3063
180.50	3070.50
181	3078.10
181.50	3085.70
182	3093.30
182.50	3101
183	3108.70
183.50	3116.50
184	3124.30
184.50	3132.10
185	3139.90
185.50	3147.80
186	3155.70
186.50	3163.70
187	3171.70
187.50	3179.70
188	3187.80
188.50	3195.90
189	3204.10
189.50	3212.20
190	3220.50
190.50	3228.70
191	3237
191.50	3245.40
192	3253.70
192.50	3262.20
193	3270.60
193.50	3279.10
194	3287.60
194.50	3296.20
195	3304.80
195.50	3313.50
196	3322.20
196.50	3331
197	3339.70
197.50	3348.60
198	3357.40
198.50	3366.40
199	3375.30
199.50	3384.30
200	3393.40
